,char,이름
0,C001,서연
1,C003,서윤
2,C005,서현
3,C007,지우
4,C009,민서
5,C011,하윤
6,C013,하은
7,C015,윤서
8,C017,채원
9,C019,지윤
10,C021,지유
11,C023,지민
12,C025,지원
13,C027,지안
14,C029,수아
15,C031,은서
16,C033,지아
17,C035,다은
18,C037,수빈
19,C039,유진
20,C041,예은
21,C043,수연
22,C045,서아
23,C047,서영
24,C049,소율
25,C051,하린
26,C053,예원
27,C055,예린
28,C057,소윤
29,C059,민지
30,C061,유나
31,C063,수민
32,C065,시은
33,C067,채은
34,C069,예진
35,C071,시아
36,C073,수현
37,C075,가은
38,C077,연우
39,C079,윤아
40,C081,아린
41,C083,지현
42,C085,서우
43,C087,민주
44,C089,시연
45,C091,민정
46,C093,유주
47,C095,예나
48,C097,도연
49,C099,하율
50,E001,주아
51,E003,연서
52,E005,아윤
53,E007,나은
54,E009,지연
55,E011,서하
56,E013,지은
57,E015,민경
58,E017,정원
59,E019,지영
60,E021,아인
61,E023,예서
62,E025,다인
63,E027,유정
64,E029,서은
65,E031,소연
66,E033,현서
67,E035,나경
68,E037,채아
69,E039,다연
70,E041,나윤
71,E043,이서
72,E045,서진
73,E047,수진
74,E049,주연
75,E051,채윤
76,E053,서율
77,E055,지율
78,E057,나연
79,E059,다온
80,E061,하연
81,E063,지수
82,E065,규리
83,E067,시현
84,E069,유빈
85,E071,다현
86,E073,혜원
87,E075,예지
88,E077,나현
89,E079,수정
90,E081,소은
91,E083,윤지
92,E085,보경
93,E087,현주
94,E089,서희
95,E091,현정
96,E093,세아
97,E095,소영
98,E097,사랑
99,E099,주하
0,C002,민준
1,C004,서준
2,C006,도윤
3,C008,예준
4,C010,시우
5,C012,주원
6,C014,하준
7,C016,지호
8,C018,지후
9,C020,준우
10,C022,현우
11,C024,준서
12,C026,도현
13,C028,지훈
14,C030,건우
15,C032,우진
16,C034,선우
17,C036,민재
18,C038,현준
19,C040,유준
20,C042,서진
21,C044,연우
22,C046,은우
23,C048,정우
24,C050,시윤
25,C052,준혁
26,C054,승현
27,C056,이준
28,C058,승우
29,C060,승민
30,C062,지환
31,C064,민성
32,C066,윤우
33,C068,준영
34,C070,수호
35,C072,수현
36,C074,동현
37,C076,진우
38,C078,유찬
39,C080,지우
40,C082,시후
41,C084,지원
42,C086,이안
43,C088,성민
44,C090,지안
45,C092,민규
46,C094,재원
47,C096,재윤
48,C098,성현
49,C100,시현
50,E002,준호
51,E004,지한
52,E006,태윤
53,E008,로운
54,E010,재민
55,E012,민우
56,E014,재현
57,E016,태현
58,E018,정민
59,E020,민찬
60,E022,시원
61,E024,한결
62,E026,윤호
63,E028,시온
64,E030,우주
65,E032,민석
66,E034,서우
67,E036,은찬
68,E038,성준
69,E040,승준
70,E042,우빈
71,E044,지민
72,E046,정현
73,E048,도하
74,E050,이든
75,E052,현서
76,E054,현수
77,E056,민수
78,E058,민호
79,E060,윤성
80,E062,윤재
81,E064,민혁
82,E066,지성
83,E068,도훈
84,E070,은호
85,E072,다온
86,E074,하진
87,E076,하율
88,E078,경민
89,E080,이현
90,E082,규민
91,E084,정훈
92,E086,지율
93,E088,태민
94,E090,준성
95,E092,민기
96,E094,예성
97,E096,강민
98,E098,준
99,E100,준수
